ms,heading,rotZ,wz,ax,ay,az,left,right,stationary,enc_heading,acc_abs
1,0.0,0.0,0.0,23,45,9823,0,0,1,0.0,9823.1
20,0.0,0.0,0.0,-5,21,9816,0,0,0,0.0,9816.0
40,0.0,0.0,-0.7,4,83,9761,0,0,0,0.0,9761.4
60,0.01,0.0,0.3,127,229,9740,0,0,0,0.0,9743.5
80,0.0,0.0,-0.3,-95,-2,9730,0,0,0,0.0,9730.5
100,0.01,0.0,0.2,177,54,9778,0,0,0,0.0,9779.8
120,0.0,0.0,-0.2,-116,119,9816,0,0,0,0.0,9817.4
140,0.01,-0.01,0.1,179,11,9790,0,0,0,0.0,9791.6
160,0.0,0.0,-0.2,-145,4,9819,0,0,0,0.0,9820.1
180,0.01,-0.01,0.0,125,102,9811,0,0,0,0.0,9812.3
200,0.01,-0.01,-0.2,-104,-62,9878,0,0,0,0.0,9878.7
220,0.03,-0.03,-2.3,-758,38,8796,0,0,0,0.0,8828.7
240,0.2,-0.2,-17.0,-1751,-400,10456,-1,-1,0,0.0,10609.1
260,0.78,-0.79,-38.3,-505,294,9983,3,-3,0,1.63,10000.1
280,1.68,-1.71,-50.0,-1424,442,10487,6,-6,0,3.27,10592.5
300,2.77,-2.81,-59.7,-597,138,7375,9,-9,0,4.9,7400.4
320,4.12,-4.19,-76.3,-1576,296,10225,13,-14,0,7.35,10350.0
340,5.85,-5.94,-95.8,-2178,1082,9948,18,-19,0,10.07,10241.0
360,7.91,-8.04,-111.0,-1216,921,10604,23,-24,0,12.79,10713.2
380,10.23,-10.39,-121.9,-3050,2224,12618,29,-30,0,16.06,13170.5
400,12.75,-12.95,-130.4,27,-177,9243,34,-37,0,19.33,9244.7
420,15.43,-15.84,-139.6,-21,-438,7440,41,-43,0,22.86,7452.9
440,18.44,-18.73,-145.2,-711,-953,6069,47,-49,0,26.13,6184.4
460,21.42,-21.77,-155.0,-931,1899,8567,53,-56,0,29.67,8824.2
480,24.54,-24.93,-160.6,-1886,1925,8505,60,-63,0,33.48,8921.8
500,27.79,-28.23,-166.3,-2846,1465,10072,67,-70,0,37.29,10568.4
520,31.14,-31.64,-171.0,-2526,4237,11646,74,-76,0,40.83,12647.6
540,34.58,-35.14,-175.0,-709,-263,10282,81,-86,0,45.46,10309.8
560,38.15,-38.76,-184.6,-156,-429,9525,90,-92,0,49.54,9535.9
580,41.83,-42.5,-187.5,-1912,694,12527,97,-100,0,53.62,12691.1
600,45.58,-46.31,-187.8,-1979,1084,9916,105,-107,0,57.7,10169.5
620,49.38,-50.17,-193.0,1932,-4072,8209,112,-116,0,62.06,9364.9
640,53.28,-54.13,-197.5,243,-797,9912,121,-125,0,66.96,9947.0
660,57.25,-58.17,-202.0,769,176,10026,130,-135,0,72.13,10057.0
680,61.3,-62.29,-205.9,-348,3664,11500,138,-144,0,76.76,12074.6
700,65.42,-66.47,-209.1,494,399,12269,147,-153,0,81.66,12285.4
720,69.62,-70.74,-212.4,1527,220,10709,156,-163,0,86.83,10819.6
740,73.9,-75.08,-217.6,-929,1920,8992,165,-173,0,92.0,9241.5
760,78.26,-79.52,-222.0,-415,2026,14218,175,-183,0,97.44,14367.6
780,82.71,-84.03,-226.0,-242,2442,15985,185,-193,0,102.89,16172.3
800,87.26,-88.66,-232.1,1847,-685,5737,197,-202,0,108.6,6065.8
820,91.9,-93.38,-233.2,1582,603,7039,208,-212,0,114.32,7239.7
840,96.59,-98.14,-237.9,651,-1511,3172,218,-222,0,119.76,3573.3
860,101.35,-103.26,-240.9,-618,2409,8978,228,-232,0,125.21,9316.1
880,106.45,-108.16,-243.8,316,3868,16154,239,-242,0,130.92,16613.6
900,111.32,-113.11,-245.9,-1924,4203,7258,249,-253,0,136.64,8605.0
920,116.25,-118.12,-248.6,1802,-347,9845,260,-264,0,142.63,10014.6
940,121.2,-123.15,-248.3,470,2363,8703,272,-275,0,148.89,9030.3
960,126.15,-128.18,-249.0,-1062,1999,6989,284,-286,0,155.15,7346.4
980,131.14,-133.25,-251.9,-1040,-850,11068,294,-297,0,160.86,11149.2
1000,136.16,-138.35,-252.1,672,711,12020,304,-308,0,166.58,12059.7
1020,141.18,-143.45,-253.4,-690,4716,11617,315,-320,0,172.84,12556.7
1040,146.25,-148.6,-256.1,-476,1638,16088,325,-331,0,178.55,16178.2
1060,151.33,-153.76,-254.7,125,2593,6186,335,-342,0,184.27,6708.6
1080,156.4,-158.92,-256.4,-784,1901,12885,346,-355,0,190.8,13048.1
1100,161.48,-164.08,-255.9,2115,1178,10743,358,-366,0,197.06,11012.4
1120,166.52,-169.2,-251.8,-782,2047,14605,369,-377,0,203.05,14768.5
1140,171.53,-174.29,-251.5,1473,895,10810,379,-388,0,208.77,10946.5
1160,176.54,-179.38,-253.6,1008,2409,12142,390,-398,0,214.48,12419.6
1180,181.57,-184.49,-254.4,1132,871,7972,400,-408,0,219.93,8098.9
1200,186.61,-189.61,-254.2,-858,3559,13778,410,-419,0,225.64,14256.1
1220,191.65,-194.74,-254.5,-1476,3875,10385,421,-429,0,231.36,11182.2
1240,196.7,-199.87,-253.3,-633,-3152,8892,432,-439,0,237.08,9455.3
1260,201.77,-205.02,-254.8,-1564,3156,9147,443,-449,0,242.79,9801.7
1280,206.88,-210.21,-257.1,973,220,11736,455,-460,0,249.05,11778.3
1300,212.0,-215.72,-256.2,1129,1894,10124,466,-470,0,254.77,10361.3
1320,217.42,-220.92,-256.7,203,2687,10060,476,-482,0,260.76,10414.6
1340,222.52,-226.11,-255.3,2423,2711,11170,486,-493,0,266.47,11746.9
1360,227.65,-231.31,-259.1,1800,-694,11220,497,-505,0,272.73,11384.6
1380,232.76,-236.51,-255.0,-1372,5405,4724,508,-516,0,278.72,7308.4
1400,237.85,-241.68,-254.4,1008,3829,8011,518,-528,0,284.71,8936.1
1420,242.93,-246.84,-254.1,421,3039,10158,528,-539,0,290.42,10611.2
1440,247.99,-251.98,-255.5,1876,267,11564,539,-550,0,296.41,11718.2
1460,253.05,-257.12,-255.0,-351,3307,8997,549,-560,0,301.86,9591.9
1480,258.11,-262.26,-254.3,-1649,3499,10893,561,-569,0,307.57,11559.4
1500,263.12,-267.36,-251.8,-616,-1562,4545,572,-579,0,313.29,4845.2
1520,268.14,-272.46,-251.1,1624,-1748,1173,582,-588,0,318.46,2658.7
1540,273.15,-277.54,-249.5,-2090,888,5236,592,-598,0,323.9,5707.2
