=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:14:50
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 8.61kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 8.96kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 9.04kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 9.14kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 8.75kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 8.93kB/s]
 95%|█████████▌| 7.10k/7.45k [00:00<00:00, 7.07kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 6.25kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.1395846, 0.1962798) / 角速度 Matrix([
    [  -0.027],
    [   0.054],
    [  -0.018],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,0,0,0,0,6,6,9854,0,0,1
T,20,0,0,0,53,23,9814,0,0,0
T,40,0,0,0,-28,102,9773,0,0,0
T,60,1,0,0,117,-14,9785,0,0,0
T,80,0,0,0,-59,54,9759,0,0,0
T,100,0,0,-2,84,81,9773,0,0,0
T,120,0,0,0,-2,40,9804,0,0,0
T,140,1,0,1,82,71,9792,0,0,0
T,160,1,0,2,-19,-9,9842,0,0,0
T,180,1,0,-2,-493,-479,9811,0,0,0
T,200,6,-6,-61,-476,-108,10072,0,0,0
T,220,26,-26,-135,-1190,-860,9885,0,-2,0
T,240,62,-63,-249,-1180,778,9931,-1,-4,0
T,260,125,-127,-387,-1526,263,10822,3,-7,0
T,280,214,-217,-502,-943,184,10294,6,-10,0
T,300,324,-329,-608,-1092,-122,11099,10,-14,0
T,320,455,-462,-719,94,-867,9016,14,-17,0
T,340,610,-619,-838,-464,1226,10127,19,-21,0
T,360,787,-799,-967,-531,100,8622,24,-26,0
T,380,991,-1006,-1090,-998,876,7743,30,-31,0
T,400,1214,-1233,-1183,-1109,-333,9871,35,-36,0
T,420,1456,-1479,-1280,-637,349,9484,41,-42,0
T,440,1718,-1745,-1381,-1199,42,7607,48,-49,0
T,460,2000,-2031,-1474,-346,3192,10552,54,-55,0
T,480,2317,-2354,-1590,-2263,1415,6688,61,-62,0
T,500,2620,-2682,-1682,-2803,2471,10998,69,-69,0
T,520,2978,-3026,-1744,286,124,8978,76,-77,0
T,540,3331,-3384,-1819,-429,4380,7531,83,-84,0
T,560,3693,-3752,-1885,-1815,2720,7521,92,-92,0
T,580,4068,-4133,-1927,-524,2351,11216,100,-101,0
T,600,4450,-4521,-1960,-55,2114,11283,108,-110,0
T,620,4836,-4913,-1972,-173,-910,2480,116,-119,0
T,640,5225,-5308,-1993,-877,953,4949,124,-128,0
T,660,5622,-5712,-2046,-1213,1664,6296,133,-137,0
