=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:15:22
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 9.87kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 8.78kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 8.51kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 8.79kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 8.55kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 8.12kB/s]
 95%|█████████▌| 7.10k/7.45k [00:00<00:00, 6.29kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 5.90kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.2707714, 0.2412572) / 角速度 Matrix([
    [   0.112],
    [  -0.023],
    [  -0.095],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,0,-1,0,0,63,35,9823,0,0,1
T,20,-1,0,-1,91,6,9823,0,0,0
T,40,-1,0,0,39,114,9668,0,0,0
T,60,-1,0,-1,106,83,9756,0,0,0
T,80,-1,0,1,-14,40,9799,0,0,0
T,100,-1,0,0,87,83,9850,0,0,0
T,120,-1,0,-1,-26,169,9828,0,0,0
T,140,-1,0,0,101,9,9821,0,0,0
T,160,-1,0,0,1,11,9764,0,0,0
T,180,-1,0,-1,96,61,9826,0,0,0
T,200,-1,0,0,56,2,9835,0,0,0
T,220,1,-2,-43,-237,878,9900,0,0,0
T,240,19,-21,-133,-1114,-1042,9018,2,0,0
T,260,52,-55,-204,-1810,-1025,10277,4,0,0
T,280,109,-112,-406,-941,-845,9773,6,-2,0
T,300,211,-223,-618,-424,-1624,8820,8,-7,0
T,320,361,-368,-806,-1948,1068,11932,11,-12,0
T,340,540,-550,-988,-1038,-824,9959,16,-18,0
T,360,755,-769,-1147,-1822,2768,13047,22,-24,0
T,380,997,-1015,-1260,122,457,9448,27,-30,0
T,400,1254,-1276,-1308,-550,-905,10886,33,-37,0
T,420,1523,-1549,-1394,1188,-2263,6659,40,-43,0
T,440,1804,-1835,-1438,-1152,854,9568,47,-50,0
T,460,2096,-2132,-1499,-1149,97,8818,53,-57,0
T,480,2401,-2442,-1558,177,-469,10807,60,-64,0
T,500,2718,-2764,-1622,-88,667,11457,67,-71,0
T,520,3043,-3094,-1652,582,-292,6248,74,-78,0
T,540,3376,-3432,-1707,-479,1975,8522,82,-85,0
T,560,3722,-3784,-1765,-1422,2656,11323,89,-93,0
T,580,4076,-4143,-1799,32,744,12832,97,-102,0
T,600,4437,-4510,-1819,2039,1046,9850,105,-110,0
T,620,4802,-4881,-1849,-616,1388,7371,112,-118,0
T,640,5176,-5261,-1902,-190,2368,16475,121,-127,0
T,660,5557,-5648,-1920,-2445,4977,12013,130,-136,0
