=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:16:30
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 9.78kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 9.47kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 9.33kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 9.32kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 9.28kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 9.24kB/s]
 95%|█████████▌| 7.10k/7.45k [00:00<00:00, 7.17kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 6.38kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.1283473, 0.236495) / 角速度 Matrix([
    [  -0.026],
    [  -0.022],
    [   0.048],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,0,0,0,1,25,61,9790,1,0,1
T,20,0,0,0,68,16,9780,1,0,0
T,40,0,0,0,-97,9,9776,0,0,0
T,60,0,0,1,108,49,9799,0,0,0
T,80,0,0,-1,13,119,9847,0,0,0
T,100,0,0,-1,27,90,9833,0,0,0
T,120,0,0,0,6,-36,9838,0,0,0
T,140,0,0,-2,53,81,9840,0,0,0
T,160,0,0,0,-38,6,9826,0,0,0
T,180,0,0,-2,-320,66,9835,0,0,0
T,200,3,-3,-27,279,-553,9988,1,-1,0
T,220,17,-17,-132,-908,478,9506,1,-2,0
T,240,63,-64,-324,-960,1175,9756,2,-3,0
T,260,138,-141,-434,-1554,-64,9083,5,-6,0
T,280,234,-238,-534,-1090,308,9530,6,-9,0
T,300,352,-358,-667,-1761,1645,10588,9,-12,0
T,320,497,-505,-808,-1777,287,8025,12,-16,0
T,340,670,-680,-937,-2244,1321,10315,16,-20,0
T,360,866,-880,-1046,-2434,-577,9981,21,-25,0
T,380,1084,-1102,-1162,319,-1202,8933,28,-31,0
T,400,1324,-1346,-1291,-178,538,11060,34,-37,0
T,420,1585,-1627,-1368,-716,550,9747,40,-44,0
T,440,1875,-1906,-1424,660,-752,9491,47,-49,0
T,460,2162,-2196,-1496,591,-1621,6091,53,-56,0
T,480,2462,-2501,-1556,-3609,2435,12515,59,-62,0
T,500,2773,-2818,-1613,-261,-342,10428,66,-68,0
T,520,3099,-3149,-1709,-1782,1678,12859,73,-76,0
T,540,3440,-3495,-1759,-652,665,13492,80,-83,0
T,560,3791,-3852,-1814,852,1484,13076,87,-90,0
T,580,4147,-4214,-1828,-891,2716,9828,95,-98,0
T,600,4508,-4581,-1858,873,-172,9639,103,-107,0
T,620,4881,-4959,-1916,468,-2548,7151,111,-115,0
T,640,5260,-5345,-1936,125,1070,7941,120,-124,0
T,660,5646,-5737,-1977,-194,1712,13370,129,-133,0
