=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:18:08
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 9.66kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 9.42kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 9.34kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 8.83kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 9.00kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 7.75kB/s]
 95%|█████████▌| 7.10k/7.45k [00:00<00:00, 6.26kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 5.93kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.2213324, 0.2316467) / 角速度 Matrix([
    [   0.044],
    [  -0.170],
    [   0.050],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,1,0,0,0,65,30,9802,0,0,1
T,20,0,0,0,108,2,9838,0,0,0
T,40,0,0,-3,-21,145,9840,0,0,0
T,60,0,0,2,165,-26,9807,0,0,0
T,80,0,0,0,-62,83,9811,0,0,0
T,100,0,0,1,129,90,9814,0,0,0
T,120,0,0,-1,-19,-55,9811,0,0,0
T,140,0,0,1,98,42,9804,0,0,0
T,160,0,0,0,-26,95,9823,0,0,0
T,180,0,0,-2,-175,-187,10022,0,0,0
T,200,6,-6,-63,-770,-984,9420,0,0,0
T,220,35,-36,-216,-1412,-522,10788,0,-2,0
T,240,86,-87,-306,-474,1930,9217,2,-3,0
T,260,162,-165,-453,-1552,71,9269,4,-6,0
T,280,265,-269,-566,-1408,1513,10850,6,-9,0
T,300,385,-391,-646,-1434,-148,9035,9,-12,0
T,320,525,-533,-767,-1588,608,10251,13,-15,0
T,340,694,-705,-927,-1249,-891,9155,18,-20,0
T,360,894,-908,-1070,-1329,562,9284,23,-24,0
T,380,1117,-1135,-1164,-2263,2205,12918,29,-30,0
T,400,1361,-1383,-1285,-943,-1111,9291,35,-36,0
T,420,1628,-1654,-1380,-877,1156,7812,42,-42,0
T,440,1910,-1941,-1449,-2277,2481,13212,48,-49,0
T,460,2204,-2239,-1496,-491,-2307,7502,53,-56,0
T,480,2507,-2547,-1549,-1377,1987,10802,60,-63,0
T,500,2822,-2867,-1604,1158,1805,10848,66,-70,0
T,520,3148,-3199,-1671,-1268,1611,11471,73,-77,0
T,540,3485,-3541,-1712,821,-1442,7340,81,-84,0
T,560,3852,-3914,-1768,494,-311,9685,88,-92,0
T,580,4206,-4274,-1805,-268,2407,11366,97,-99,0
T,600,4566,-4639,-1811,-1780,720,8061,105,-108,0
T,620,4933,-5012,-1860,56,438,8252,113,-117,0
T,640,5308,-5393,-1892,-355,4414,16446,121,-125,0
T,660,5685,-5777,-1906,-1199,3127,11438,128,-134,0
T,680,6071,-6169,-1970,-2320,4107,14476,137,-143,0
T,700,6471,-6575,-2049,309,687,11488,146,-153,0
T,720,6880,-6991,-2066,423,-421,7595,155,-162,0
T,740,7298,-7415,-2126,1072,-1317,9303,165,-171,0
T,760,7727,-7852,-2197,1011,-1317,8137,174,-181,0
T,780,8170,-8301,-2250,-590,1757,6544,185,-190,0
T,800,8624,-8763,-2296,-628,-2333,9042,196,-200,0
T,820,9091,-9237,-2378,1079,1012,6783,208,-211,0
T,840,9571,-9725,-2451,1200,442,19214,219,-221,0
T,860,10056,-10218,-2428,658,-2445,5305,229,-232,0
T,880,10545,-10715,-2478,-159,2191,8801,240,-242,0
