=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:18:41
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 8.66kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 7.84kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 8.41kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 8.32kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 8.65kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 7.59kB/s]
 95%|█████████▌| 7.10k/7.45k [00:01<00:00, 5.28kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 5.07kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.1601924, 0.2584562) / 角速度 Matrix([
    [  -0.093],
    [  -0.027],
    [  -0.083],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,0,0,0,0,65,35,9807,0,0,1
T,20,0,0,0,30,28,9821,0,0,0
T,40,0,0,-9,-62,112,9692,0,0,0
T,60,1,-1,8,177,236,9711,0,0,0
T,80,0,0,-5,-142,-38,9711,0,0,0
T,100,1,-1,4,198,35,9809,0,0,0
T,120,0,0,-2,-161,85,9821,0,0,0
T,140,0,0,4,162,-7,9811,0,0,0
T,160,0,0,-3,-140,100,9828,0,0,0
T,180,1,-1,0,177,-48,9768,0,0,0
T,200,1,-1,2,224,-177,9921,1,0,0
T,220,2,-2,-24,-194,33,9931,1,0,0
T,240,17,-18,-160,-1505,773,9711,2,-1,0
T,260,73,-75,-387,-2282,-9,10346,4,-3,0
T,280,163,-165,-501,-1697,354,10463,7,-5,0
T,300,272,-276,-623,-929,-972,8541,10,-8,0
T,320,412,-418,-791,-1289,550,9599,13,-12,0
T,340,586,-595,-971,-1434,-14,8304,16,-18,0
T,360,789,-802,-1093,-3324,1132,9943,21,-24,0
T,380,1017,-1033,-1223,-1872,1777,11428,27,-30,0
T,400,1268,-1288,-1316,-1036,363,10241,33,-37,0
T,420,1534,-1559,-1383,-640,524,8378,39,-43,0
T,440,1813,-1843,-1437,-313,-314,11044,45,-49,0
T,460,2105,-2139,-1514,-464,945,8839,52,-56,0
T,480,2408,-2446,-1575,-1299,2157,9974,58,-63,0
T,500,2724,-2768,-1647,-265,-1394,10098,66,-69,0
T,520,3056,-3105,-1729,-1616,1293,5651,73,-76,0
T,540,3401,-3456,-1780,-2156,1774,9515,80,-84,0
T,560,3755,-3815,-1810,-1317,1556,7578,88,-92,0
T,580,4116,-4182,-1862,956,2105,15944,96,-99,0
T,600,4486,-4558,-1905,-114,2830,13071,104,-107,0
T,620,4866,-4968,-1958,-213,-297,5861,111,-115,0
T,640,5277,-5362,-1991,-140,2033,8111,120,-124,0
T,660,5673,-5764,-2049,314,677,11400,128,-133,0
T,680,6078,-6176,-2086,-367,1674,11228,137,-141,0
T,700,6492,-6597,-2132,-187,1824,11314,147,-150,0
T,720,6912,-7023,-2142,793,-1890,5171,155,-159,0
T,740,7341,-7459,-2216,1378,1051,8452,164,-170,0
T,760,7781,-7906,-2247,-571,3484,9353,174,-180,0
T,780,8229,-8362,-2311,-57,3072,15417,184,-191,0
T,800,8685,-8825,-2336,-109,2222,10623,195,-201,0
T,820,9151,-9299,-2390,2136,596,10523,206,-212,0
T,840,9626,-9781,-2440,2620,1676,9804,217,-223,0
T,860,10105,-10268,-2462,634,1130,9114,227,-234,0
T,880,10589,-10759,-2483,2838,-148,12274,238,-245,0
T,900,11076,-11254,-2481,-571,3441,13179,249,-256,0
T,920,11561,-11748,-2469,-659,-515,5904,260,-266,0
T,940,12051,-12245,-2522,-206,2555,14387,271,-276,0
T,960,12549,-12751,-2548,468,509,8355,282,-286,0
T,980,13049,-13259,-2565,-557,4335,12400,294,-297,0
T,1000,13553,-13771,-2568,56,2869,12140,304,-307,0
T,1020,14058,-14284,-2575,-429,1048,11199,315,-319,0
T,1040,14563,-14798,-2581,-88,-788,9952,325,-330,0
T,1060,15073,-15315,-2619,-36,3365,8519,335,-341,0
T,1080,15584,-15866,-2610,1973,-999,10757,346,-351,0
T,1100,16127,-16387,-2618,2312,2018,9878,358,-364,0
T,1120,16641,-16910,-2616,-711,1839,9219,369,-376,0
T,1140,17155,-17431,-2624,-379,1336,14225,379,-387,0
T,1160,17668,-17953,-2632,16,-1099,6628,390,-398,0
T,1180,18181,-18474,-2607,-962,1729,5570,399,-410,0
