=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:19:55
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 7.73kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 8.57kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 8.40kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 8.68kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 8.87kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 8.65kB/s]
 95%|█████████▌| 7.10k/7.45k [00:00<00:00, 8.38kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 6.52kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.2506747, 0.2216531) / 角速度 Matrix([
    [  -0.025],
    [   0.115],
    [   0.057],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,1,0,0,1,82,16,9866,0,0,1
T,20,0,0,0,44,11,9778,0,0,0
T,40,0,0,-2,-7,157,9883,0,0,0
T,60,0,0,2,103,6,9780,0,0,0
T,80,0,0,0,-28,-36,9816,0,0,0
T,100,0,0,-5,-171,-711,9809,0,-1,0
T,120,5,-5,-41,-159,-62,9916,0,-1,0
T,140,18,-18,-87,37,-148,9663,-1,-1,0
T,160,33,-34,-65,165,308,9692,-1,-2,0
T,180,46,-47,-71,-391,-362,9764,-2,-4,0
T,200,64,-65,-102,-256,-115,9508,-2,-5,0
T,220,91,-93,-179,-1040,605,10545,-2,-7,0
T,240,143,-145,-320,-1152,363,10439,0,-9,0
T,260,218,-222,-433,-1130,155,10375,3,-11,0
T,280,315,-326,-536,-107,-484,8636,5,-13,0
T,300,433,-448,-657,-505,45,9253,8,-15,0
T,320,577,-586,-796,-1315,-60,9747,12,-18,0
T,340,747,-770,-918,-1187,-570,7719,17,-21,0
T,360,953,-969,-1048,-2000,337,9439,22,-26,0
T,380,1172,-1191,-1132,-1481,943,10855,28,-30,0
T,400,1408,-1431,-1229,-929,1240,7827,34,-34,0
T,420,1660,-1687,-1305,-1344,2294,14007,40,-39,0
T,440,1929,-1960,-1402,-282,-98,9018,46,-45,0
T,460,2217,-2253,-1473,-1666,3355,12080,52,-51,0
T,480,2517,-2558,-1539,-948,3185,10485,59,-57,0
T,500,2831,-2877,-1615,-1971,816,7020,65,-64,0
T,520,3157,-3208,-1649,-1573,2268,10502,72,-70,0
T,540,3492,-3549,-1717,-1637,2754,11617,79,-78,0
T,560,3839,-3901,-1766,-716,246,9830,86,-86,0
T,580,4196,-4263,-1800,-595,-1221,8433,93,-94,0
T,600,4559,-4632,-1830,2065,778,10855,100,-103,0
T,620,4929,-5009,-1893,-213,3525,13024,108,-111,0
T,640,5311,-5397,-1953,-787,1194,10640,115,-120,0
T,660,5704,-5796,-2000,-602,2957,14848,124,-129,0
T,680,6107,-6206,-2038,-1998,5106,11137,133,-138,0
T,700,6517,-6622,-2083,800,2474,7153,142,-147,0
T,720,6939,-7051,-2155,-711,3722,10934,152,-156,0
T,740,7374,-7493,-2226,-2152,2450,5792,162,-165,0
T,760,7820,-7946,-2245,-626,2117,7363,172,-175,0
T,780,8300,-8434,-2290,698,830,7626,181,-184,0
T,800,8762,-8903,-2343,-2576,4031,8292,191,-194,0
T,820,9233,-9382,-2400,-652,1599,16422,202,-204,0
T,840,9712,-9868,-2426,582,2057,16107,212,-215,0
T,860,10199,-10363,-2458,-1545,4589,11789,222,-225,0
T,880,10688,-10861,-2460,326,-282,7676,233,-236,0
T,900,11182,-11362,-2496,2357,4332,16563,243,-248,0
T,920,11681,-11869,-2504,430,1472,6461,253,-260,0
T,940,12183,-12380,-2526,-209,3657,10430,265,-272,0
T,960,12688,-12892,-2536,1435,1760,9382,276,-283,0
T,980,13193,-13405,-2563,-2415,4088,9828,286,-295,0
T,1000,13696,-13916,-2528,-960,1571,2432,298,-307,0
T,1020,14200,-14428,-2537,-237,988,4517,308,-318,0
T,1040,14702,-14939,-2516,-3744,3743,5025,319,-328,0
T,1060,15202,-15447,-2506,51,1254,9064,330,-339,0
T,1080,15701,-15954,-2522,-2014,3808,15369,341,-348,0
T,1100,16203,-16465,-2539,968,385,9221,352,-357,0
T,1120,16708,-16977,-2540,1245,2356,12983,363,-368,0
T,1140,17216,-17493,-2552,-1557,3386,12173,373,-378,0
T,1160,17724,-18010,-2552,1139,-1837,9928,383,-388,0
T,1180,18236,-18530,-2560,-827,6445,17052,394,-399,0
T,1200,18749,-19081,-2575,1463,950,10619,404,-409,0
T,1220,19260,-19571,-2574,736,850,7629,415,-420,0
T,1240,19773,-20122,-2565,-154,2474,7337,426,-430,0
T,1260,20316,-20643,-2577,852,2866,15371,436,-441,0
T,1280,20827,-21163,-2572,316,3511,9940,446,-452,0
T,1300,21338,-21682,-2566,826,224,6766,457,-463,0
T,1320,21850,-22201,-2573,-1036,2869,14490,466,-474,0
T,1340,22362,-22722,-2567,-1206,1597,6356,477,-485,0
T,1360,22874,-23243,-2578,-891,5621,9647,487,-496,0
T,1380,23387,-23764,-2584,-962,-1006,5293,498,-507,0
T,1400,23899,-24284,-2562,-1903,4399,12092,508,-517,0
T,1420,24408,-24802,-2539,-3464,2368,4779,520,-527,0
T,1440,24918,-25319,-2572,-1351,3472,9145,531,-537,0
T,1460,25429,-25839,-2574,2267,-1011,12121,541,-547,0
T,1480,25937,-26355,-2549,350,3827,12300,551,-557,0
T,1500,26446,-26872,-2541,876,-108,6829,561,-567,0
T,1520,26955,-27390,-2566,1174,1686,11493,572,-577,0
T,1540,27458,-27901,-2519,-640,4289,9238,581,-587,0
T,1560,27958,-28408,-2531,2113,-1152,11170,591,-597,0
T,1580,28464,-28922,-2548,1783,2996,11569,601,-608,0
T,1600,28972,-29439,-2570,-341,4227,13501,612,-619,0
T,1620,29479,-29954,-2537,1511,-2184,10256,622,-630,0
T,1640,29985,-30468,-2543,1250,3671,11371,633,-640,0
T,1660,30491,-30982,-2530,1053,3798,11306,643,-652,0
T,1680,30993,-31523,-2511,1079,229,6666,654,-662,0
T,1700,31525,-32033,-2520,1428,3523,12367,664,-673,0
T,1720,32024,-32540,-2499,1241,751,10442,674,-683,0
T,1740,32517,-33041,-2471,2160,1199,10110,685,-692,0
T,1760,33006,-33538,-2453,196,2847,11655,695,-701,0
T,1780,33497,-34036,-2458,245,1008,10800,706,-710,0
T,1800,33988,-34535,-2466,-341,4222,13864,717,-719,0
T,1820,34478,-35034,-2462,-1602,2656,12431,726,-729,0
T,1840,34968,-35531,-2458,-21,708,12458,737,-739,0
T,1860,35458,-36029,-2459,-1782,2694,7975,746,-749,0
T,1880,35949,-36528,-2474,-602,-2077,9014,756,-759,0
T,1900,36440,-37027,-2466,-1225,2747,13047,766,-768,0
T,1920,36931,-37526,-2467,1027,1920,6883,776,-779,0
T,1940,37423,-38026,-2481,750,291,10733,787,-790,0
T,1960,37917,-38528,-2483,461,3829,8885,797,-800,0
T,1980,38411,-39030,-2481,-230,3360,13021,807,-811,0
T,2000,38906,-39533,-2492,890,2538,9632,818,-821,0
T,2020,39398,-40033,-2452,-2367,6766,13771,826,-833,0
T,2040,39889,-40531,-2454,-1611,4699,10174,837,-843,0
T,2060,40379,-41029,-2463,1364,2030,18335,847,-854,0
T,2080,40867,-41555,-2464,-424,1623,8792,858,-864,0
T,2100,41355,-42051,-2458,878,1297,15467,868,-874,0
T,2120,41842,-42545,-2449,-2853,838,4259,880,-885,0
T,2140,42360,-43042,-2445,-1436,4931,7815,890,-894,0
T,2160,42849,-43540,-2455,-640,1168,11469,900,-904,0
T,2180,43339,-44037,-2457,-180,-1027,9121,911,-914,0
T,2200,43828,-44534,-2467,-720,-247,5959,921,-923,0
T,2220,44319,-45033,-2482,-571,-496,3475,931,-935,0
T,2240,44810,-45532,-2453,-3166,5774,9221,941,-943,0
T,2260,45302,-46032,-2494,16,-4024,3788,951,-954,0
T,2280,45799,-46537,-2519,-2019,4169,9508,961,-964,0
T,2300,46299,-47045,-2512,-1284,-342,6962,972,-975,0
T,2320,46802,-47556,-2533,-488,4548,8598,982,-987,0
T,2340,47308,-48070,-2540,-2019,2474,9916,993,-997,0
T,2360,47813,-48583,-2523,-2881,4167,10891,1003,-1008,0
T,2380,48319,-49098,-2550,634,-1456,11039,1014,-1019,0
T,2400,48825,-49612,-2539,1034,2342,6864,1025,-1033,0
T,2420,49331,-50126,-2538,-204,2409,13184,1035,-1041,0
T,2440,49835,-50638,-2543,774,1757,14521,1045,-1050,0
T,2460,50339,-51150,-2522,-758,1927,8749,1056,-1060,0
T,2480,50843,-51662,-2549,-2372,4577,13745,1068,-1072,0
T,2500,51346,-52173,-2520,925,493,8660,1078,-1079,0
T,2520,51850,-52686,-2536,892,1779,12699,1088,-1089,0
T,2540,52356,-53200,-2547,470,1051,12161,1098,-1099,0
T,2560,52862,-53744,-2525,707,1721,9257,1108,-1109,0
T,2580,53367,-54257,-2528,-858,2744,8773,1118,-1123,0
T,2600,53902,-54770,-2539,-1379,1817,7328,1128,-1130,0
T,2620,54407,-55284,-2554,-74,3300,13609,1139,-1141,0
T,2640,54913,-55798,-2563,572,-405,5584,1150,-1151,0
T,2660,55422,-56315,-2561,-597,4747,12684,1160,-1162,0
T,2680,55930,-56831,-2537,-1308,641,10397,1170,-1176,0
T,2700,56436,-57346,-2548,-732,4878,13074,1179,-1184,0
T,2720,56943,-57860,-2557,-448,-1272,8799,1189,-1195,0
T,2740,57451,-58377,-2552,-1218,3092,13847,1199,-1206,0
T,2760,57961,-58895,-2548,-680,2203,6900,1210,-1216,0
T,2780,58472,-59414,-2572,-1114,-115,7017,1220,-1229,0
T,2800,58983,-59933,-2570,63,1113,12706,1230,-1237,0
T,2820,59493,-60451,-2551,963,2282,16560,1242,-1247,0
T,2840,60000,-60966,-2525,-1282,5398,12825,1252,-1256,0
T,2860,60504,-61478,-2517,1553,2105,16420,1262,-1266,0
T,2880,61003,-61986,-2500,179,4265,6998,1272,-1279,0
T,2900,61504,-62495,-2549,1323,4251,8722,1283,-1286,0
T,2920,62007,-63006,-2509,-782,1616,12749,1292,-1295,0
T,2940,62508,-63516,-2529,369,2112,14213,1302,-1306,0
T,2960,63007,-64022,-2494,-299,3791,9071,1311,-1318,0
T,2980,63507,-64530,-2522,-730,2967,6762,1321,-1327,0
T,3000,64008,-65069,-2517,2233,136,10141,1331,-1337,0
T,3020,64510,-65579,-2536,-147,1491,3440,1342,-1349,0
T,3040,65046,-66093,-2545,622,-36,10609,1353,-1362,0
T,3060,65549,-66605,-2520,902,2421,4775,1363,-1370,0
T,3080,66050,-67114,-2519,1629,-1389,12658,1373,-1381,0
T,3100,66551,-67623,-2512,2186,-1097,9014,1384,-1394,0
T,3120,67050,-68131,-2513,2572,909,7036,1394,-1404,0
T,3140,67548,-68636,-2506,2312,1652,15097,1404,-1411,0
T,3160,68039,-69135,-2442,1172,782,6284,1415,-1421,0
T,3180,68527,-69631,-2449,222,6931,13671,1425,-1432,0
T,3200,69015,-70127,-2435,-1441,1178,4233,1436,-1441,0
T,3220,69505,-70625,-2464,1506,569,6616,1446,-1449,0
T,3240,69996,-71124,-2458,-1043,6184,9639,1456,-1458,0
T,3260,70486,-71621,-2455,-353,1642,8261,1466,-1471,0
T,3280,70976,-72119,-2450,411,1290,4154,1476,-1478,0
T,3300,71468,-72619,-2462,-981,3714,7569,1486,-1491,0
T,3320,71959,-73118,-2474,324,-893,6814,1496,-1501,0
T,3340,72451,-73618,-2486,-552,4074,8347,1506,-1510,0
T,3360,72944,-74119,-2488,328,-963,11865,1516,-1519,0
T,3380,73439,-74622,-2490,-2960,5748,12214,1526,-1530,0
T,3400,73933,-75124,-2478,-351,1549,8350,1536,-1543,0
T,3420,74428,-75627,-2488,717,3065,13816,1545,-1554,0
T,3440,74924,-76131,-2497,1158,2708,10050,1556,-1564,0
T,3460,75418,-76633,-2483,-1671,6663,14177,1566,-1572,0
T,3480,75941,-77164,-2463,-1749,6977,14227,1576,-1586,0
T,3500,76436,-77667,-2477,-2590,6011,14891,1587,-1595,0
T,3520,76928,-78167,-2467,-3161,3144,4046,1599,-1605,0
T,3540,77422,-78669,-2494,-929,1709,8104,1609,-1613,0
T,3560,77914,-79169,-2476,-1623,366,9410,1619,-1625,0
T,3580,78404,-79667,-2456,-1507,3961,10712,1629,-1635,0
T,3600,78893,-80164,-2466,-213,-385,7380,1640,-1642,0
T,3620,79384,-80663,-2471,-519,2914,14122,1650,-1653,0
T,3640,79876,-81163,-2458,-1552,1705,6917,1659,-1664,0
T,3660,80367,-81662,-2482,-841,-414,3996,1669,-1674,0
T,3680,80862,-82165,-2490,-3327,5384,8622,1680,-1686,0
T,3700,81361,-82672,-2510,-88,-1772,2694,1690,-1696,0
T,3720,81863,-83182,-2553,-1088,1760,13707,1700,-1707,0
T,3740,82364,-83691,-2512,-306,1163,7383,1711,-1715,0
T,3760,82867,-84202,-2533,2421,574,5799,1721,-1729,0
T,3780,83372,-84716,-2540,-1592,799,11605,1732,-1740,0
T,3800,83878,-85230,-2525,-924,344,13172,1742,-1751,0
T,3820,84382,-85742,-2529,-754,1468,12295,1752,-1761,0
T,3840,84883,-86251,-2508,1442,1087,12286,1763,-1771,0
T,3860,85383,-86758,-2497,-19,1393,13174,1774,-1780,0
T,3880,85883,-87296,-2492,-550,2016,13644,1785,-1790,0
T,3900,86382,-87804,-2520,399,4646,13855,1796,-1799,0
T,3920,86881,-88310,-2491,819,2006,11851,1805,-1809,0
T,3940,87407,-88815,-2501,-289,976,10523,1816,-1819,0
T,3960,87904,-89320,-2490,-983,3508,11402,1825,-1829,0
T,3980,88402,-89826,-2494,-85,545,9109,1836,-1839,0
T,4000,88901,-90333,-2497,-1301,4052,9928,1845,-1849,0
T,4020,89399,-90839,-2500,-291,3068,13009,1856,-1860,0
T,4040,89898,-91346,-2515,2902,-3030,7292,1867,-1870,0
T,4060,90402,-91858,-2536,-479,1472,9093,1877,-1882,0
T,4080,90907,-92371,-2522,-1580,4459,11908,1886,-1892,0
T,4100,91411,-92884,-2532,-633,1278,10413,1897,-1902,0
T,4120,91914,-93395,-2532,-159,3494,13007,1906,-1913,0
T,4140,92420,-93909,-2526,-1038,3116,10786,1916,-1924,0
T,4160,92926,-94424,-2533,267,3789,7490,1926,-1935,0
T,4180,93436,-94941,-2556,-2317,2129,9212,1937,-1946,0
T,4200,93947,-95460,-2574,283,-263,8801,1947,-1955,0
T,4220,94457,-95979,-2581,-2237,4972,16599,1959,-1966,0
T,4240,94970,-96500,-2586,-621,984,6499,1969,-1975,0
T,4260,95483,-97021,-2556,-552,3171,9933,1979,-1985,0
T,4280,95990,-97537,-2540,-1469,5341,16429,1990,-1995,0
T,4300,96496,-98051,-2539,-784,3511,7901,2000,-2005,0
T,4320,97003,-98566,-2556,229,3645,10459,2010,-2015,0
T,4340,97508,-99079,-2501,-1609,-151,7915,2019,-2025,0
T,4360,98011,-99621,-2540,-424,4387,6298,2029,-2035,0
T,4380,98550,-100137,-2557,-647,1415,14631,2039,-2047,0
T,4400,99057,-100653,-2527,-1244,2354,4158,2049,-2057,0
T,4420,99563,-101167,-2551,1129,4864,20389,2059,-2069,0
T,4440,100071,-101683,-2559,978,960,15560,2070,-2080,0
